92-U-238(n,total) ENDF/B-VII.1
580.912,74.6634
580.99,57.0728
581.059,45.6194
581.128,37.1914
581.196,31.2092
581.27,26.6053
581.364,22.8556
581.476,20.1444
581.625,18.0801
581.861,16.2796
582.293,14.4826
583.042,12.8704
583.848,11.9227
584.195,11.7684
584.731,11.9999
585.154,11.5096
585.755,10.6287
589.632,8.55403
591.119,7.37006
592.165,6.08955
592.819,4.94666
593.439,3.66378
593.574,3.50398
593.606,3.49759
593.701,3.61949
593.765,3.89475
593.813,4.26978
593.868,4.98058
593.916,5.92303
593.964,7.29598
594.004,8.87848
594.043,10.9765
594.089,14.1877
594.132,18.214
594.175,23.4488
594.224,31.1176
594.268,40.238
594.32,53.6655
594.376,72.3408
594.434,97.1683
594.5,132.33
594.577,183.588
594.679,266.781
594.935,501.398
595.048,574.372
595.158,603.232
595.172,603.496
595.271,583.215
595.387,517.281
595.704,252.391
595.8,186.549
595.883,142.043
595.958,110.631
596.031,87.9912
596.103,71.2477
596.175,59.1055
596.247,50.3953
596.347,42.2595
596.468,36.152
596.605,31.8429
596.778,28.4037
597.043,25.0244
597.37,22.3558
597.893,19.7064
598.499,17.8392
599.421,16.1235
601.004,14.508
603.905,13.0615
604.423,12.9764
604.865,13.0373
